T12,Expenditure on health,,,,,
50,Bangladesh,2018,Domestic general government health expenditure (% of total government expenditure),3.0,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
50,Bangladesh,2019,Domestic general government health expenditure (% of total government expenditure),3.0,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
52,Barbados,2000,Current health expenditure (% of GDP),5.3,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
52,Barbados,2005,Current health expenditure (% of GDP),6.8,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
52,Barbados,2010,Current health expenditure (% of GDP),6.8,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
52,Barbados,2017,Current health expenditure (% of GDP),6.6,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
52,Barbados,2018,Current health expenditure (% of GDP),6.6,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
52,Barbados,2019,Current health expenditure (% of GDP),6.3,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
52,Barbados,2000,Domestic general government health expenditure (% of total government expenditure),12.3,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
52,Barbados,2005,Domestic general government health expenditure (% of total government expenditure),12.2,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
52,Barbados,2010,Domestic general government health expenditure (% of total government expenditure),10.7,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
52,Barbados,2017,Domestic general government health expenditure (% of total government expenditure),9.1,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
52,Barbados,2018,Domestic general government health expenditure (% of total government expenditure),9.9,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
52,Barbados,2019,Domestic general government health expenditure (% of total government expenditure),10.6,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
112,Belarus,2000,Current health expenditure (% of GDP),5.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
112,Belarus,2005,Current health expenditure (% of GDP),6.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
112,Belarus,2010,Current health expenditure (% of GDP),5.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
112,Belarus,2017,Current health expenditure (% of GDP),5.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
112,Belarus,2018,Current health expenditure (% of GDP),5.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
112,Belarus,2019,Current health expenditure (% of GDP),5.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
112,Belarus,2000,Domestic general government health expenditure (% of total government expenditure),12.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
112,Belarus,2005,Domestic general government health expenditure (% of total government expenditure),10.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
112,Belarus,2010,Domestic general government health expenditure (% of total government expenditure),8.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
112,Belarus,2017,Domestic general government health expenditure (% of total government expenditure),10.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
112,Belarus,2018,Domestic general government health expenditure (% of total government expenditure),10.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
112,Belarus,2019,Domestic general government health expenditure (% of total government expenditure),11.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
56,Belgium,2000,Current health expenditure (% of GDP),8.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
56,Belgium,2005,Current health expenditure (% of GDP),9.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
56,Belgium,2010,Current health expenditure (% of GDP),10.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
56,Belgium,2017,Current health expenditure (% of GDP),10.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
56,Belgium,2018,Current health expenditure (% of GDP),10.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
56,Belgium,2019,Current health expenditure (% of GDP),10.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
56,Belgium,2000,Domestic general government health expenditure (% of total government expenditure),12.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
56,Belgium,2005,Domestic general government health expenditure (% of total government expenditure),13.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
56,Belgium,2010,Domestic general government health expenditure (% of total government expenditure),14.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
56,Belgium,2017,Domestic general government health expenditure (% of total government expenditure),16.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
56,Belgium,2018,Domestic general government health expenditure (% of total government expenditure),15.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
56,Belgium,2019,Domestic general government health expenditure (% of total government expenditure),15.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
84,Belize,2000,Current health expenditure (% of GDP),4.0,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
