T28,Water supply and sanitation services,,,,,
21,Northern America,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",92.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
21,Northern America,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",79.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
21,Northern America,2020,"Safely managed drinking water sources, urban (Proportion of population with access)",97.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
21,Northern America,2020,"Safely managed drinking water sources, total (Proportion of population with access)",97.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
21,Northern America,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",92.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
21,Northern America,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",81.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
419,Latin America & the Caribbean,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",82.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
419,Latin America & the Caribbean,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",45.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
419,Latin America & the Caribbean,2010,"Safely managed drinking water sources, total (Proportion of population with access)",74.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
419,Latin America & the Caribbean,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",27.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
419,Latin America & the Caribbean,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",22.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
419,Latin America & the Caribbean,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",81.8,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
419,Latin America & the Caribbean,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",49.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
419,Latin America & the Caribbean,2015,"Safely managed drinking water sources, total (Proportion of population with access)",75.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
419,Latin America & the Caribbean,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",33.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
419,Latin America & the Caribbean,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",27.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
419,Latin America & the Caribbean,2020,"Safely managed drinking water sources, urban (Proportion of population with access)",80.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
419,Latin America & the Caribbean,2020,"Safely managed drinking water sources, rural (Proportion of population with access)",53.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
419,Latin America & the Caribbean,2020,"Safely managed drinking water sources, total (Proportion of population with access)",75.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
419,Latin America & the Caribbean,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",39.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
419,Latin America & the Caribbean,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",34.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
29,Caribbean,2005,"Safely managed sanitation facilities, urban (Proportion of population with access)",31.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
13,Central America,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",38.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
13,Central America,2010,"Safely managed drinking water sources, total (Proportion of population with access)",45.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
13,Central America,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",29.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
13,Central America,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",22.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
13,Central America,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",42.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
13,Central America,2015,"Safely managed drinking water sources, total (Proportion of population with access)",46.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
